Resource,Frequency,Percent of Wins,Percentile Rank,Rank
AscendersBane,1646,0.9862192929898143,0.004310344827586207,1.0
Dualcast,1513,0.9065308568004793,0.008620689655172414,2.0
Zap,1401,0.8394248052726183,0.01293103448275862,3.0
Coolheaded,1357,0.8130617136009587,0.017241379310344827,4.0
Defragment,1163,0.6968244457759137,0.021551724137931036,5.0
Hologram,1141,0.6836428999400839,0.02586206896551724,6.0
Glacier,1039,0.6225284601557819,0.03017241379310345,7.0
Cold Snap,931,0.5578190533253445,0.034482758620689655,8.0
Capacitor,889,0.5326542840023967,0.03879310344827586,9.0
Echo Form,817,0.4895146794487717,0.04310344827586207,10.0
Ball Lightning,813,0.48711803475134813,0.04741379310344827,11.0
Self Repair,798,0.4781306171360096,0.05172413793103448,12.0
Loop,773,0.463151587777112,0.05603448275862069,13.0
Conserve Battery,772,0.46255242660275614,0.0603448275862069,14.0
Biased Cognition,725,0.4343918514080288,0.06465517241379311,15.0
Turbo,702,0.42061114439784303,0.06896551724137931,16.0
Chill,666,0.39904134212103054,0.07327586206896551,17.0
Compile Driver,648,0.38825644098262435,0.07974137931034483,18.5
Electrodynamics,648,0.38825644098262435,0.07974137931034483,18.5
Seek,590,0.35350509286998205,0.08620689655172414,20.0
Core Surge,581,0.34811264230077893,0.09051724137931035,21.0
Consume,577,0.3457159976033553,0.09482758620689655,22.0
Go for the Eyes,572,0.3427201917315758,0.09913793103448276,23.0
Skim,545,0.32654284002396644,0.10344827586206896,24.0
White Noise,540,0.32354703415218694,0.10775862068965517,25.0
Recycle,527,0.3157579388855602,0.11206896551724138,26.0
Reinforced Body,500,0.2995805871779509,0.11637931034482758,27.0
Undo,497,0.29778310365488314,0.1206896551724138,28.0
Fission,467,0.2798082684242061,0.125,29.0
Heatsinks,452,0.2708208508088676,0.12931034482758622,30.0
Buffer,428,0.25644098262432596,0.13577586206896552,31.5
Genetic Algorithm,428,0.25644098262432596,0.13577586206896552,31.5
Creative AI,420,0.2516476932294787,0.14224137931034483,33.0
BootSequence,416,0.24925104853205513,0.14655172413793102,34.0
Sunder,409,0.24505692031156381,0.15086206896551724,35.0
Leap,376,0.22528460155781904,0.15517241379310345,36.0
Double Energy,355,0.2127022168963451,0.15948275862068967,37.0
All For One,334,0.20011983223487118,0.16379310344827586,38.0
FTL,327,0.19592570401437986,0.16810344827586207,39.0
Blizzard,320,0.19173157579388855,0.1724137931034483,40.0
Redo,299,0.17914919113241462,0.17672413793103448,41.0
Gash,296,0.1773517076093469,0.1810344827586207,42.0
Darkness,290,0.1737567405632115,0.1853448275862069,43.0
Stack,289,0.1731575793888556,0.1896551724137931,44.0
Beam Cell,285,0.170760934691432,0.1939655172413793,45.0
Static Discharge,283,0.1695626123427202,0.19827586206896552,46.0
Meteor Strike,277,0.16596764529658478,0.2025862068965517,47.0
Doom and Gloom,270,0.16177351707609347,0.20689655172413793,48.0
Steam,266,0.15937687237866988,0.21120689655172414,49.0
Reboot,260,0.15578190533253444,0.21767241379310345,50.5
Tempest,260,0.15578190533253444,0.21767241379310345,50.5
Multi-Cast,252,0.15098861593768723,0.22629310344827586,52.5
Sweeping Beam,252,0.15098861593768723,0.22629310344827586,52.5
Rainbow,246,0.14739364889155182,0.23275862068965517,54.0
Streamline,241,0.14439784301977232,0.23706896551724138,55.0
Force Field,239,0.1431995206710605,0.2413793103448276,56.0
Amplify,223,0.13361294188136608,0.24568965517241378,57.0
Machine Learning,220,0.1318154583582984,0.25,58.0
Chaos,219,0.13121629718394248,0.2543103448275862,59.0
Barrage,218,0.13061713600958658,0.25862068965517243,60.0
Apotheosis,203,0.12162971839424805,0.2629310344827586,61.0
Fusion,194,0.11623726782504494,0.2672413793103448,62.0
Thunder Strike,190,0.11384062312762133,0.27370689655172414,63.5
Storm,190,0.11384062312762133,0.27370689655172414,63.5
Panacea,178,0.10665068903535051,0.2801724137931034,65.0
Auto Shields,169,0.1012582384661474,0.28448275862068967,66.0
Ghostly,168,0.1006590772917915,0.28879310344827586,67.0
Lockon,127,0.07609346914319952,0.29310344827586204,68.0
Discovery,119,0.0713001797483523,0.2974137931034483,69.0
Rebound,111,0.0665068903535051,0.3017241379310345,70.0
Steam Power,110,0.0659077291791492,0.30603448275862066,71.0
Melter,109,0.06530856800479329,0.3103448275862069,72.0
Master of Strategy,106,0.06351108448172559,0.3146551724137931,73.0
Reprogram,103,0.061713600958657876,0.31896551724137934,74.0
Rip and Tear,98,0.05871779508687837,0.3232758620689655,75.0
Impatience,95,0.056920311563810666,0.3275862068965517,76.0
Madness,91,0.05452366686638706,0.33189655172413796,77.0
Aggregate,86,0.05152786099460755,0.33620689655172414,78.0
