Resource,Frequency,Percent of Wins,Percentile Rank,Rank
Cracked Core,1394,0.8352306770521271,0.0058823529411764705,1.0
DataDisk,586,0.35110844817255843,0.011764705882352941,2.0
Bag of Preparation,550,0.32953864589574594,0.01764705882352941,3.0
NeowsBlessing,464,0.2780107849011384,0.023529411764705882,4.0
Bronze Scales,463,0.2774116237267825,0.029411764705882353,5.0
Anchor,459,0.2750149790293589,0.03529411764705882,6.0
Happy Flower,453,0.27142001198322346,0.041176470588235294,7.0
Oddly Smooth Stone,442,0.2648292390653086,0.047058823529411764,8.0
Art of War,428,0.25644098262432596,0.052941176470588235,9.0
Centennial Puzzle,427,0.25584182144997003,0.058823529411764705,10.0
Lantern,424,0.25404433792690234,0.06470588235294118,11.0
Mummified Hand,417,0.24985020970641103,0.07352941176470588,12.5
PreservedInsect,417,0.24985020970641103,0.07352941176470588,12.5
War Paint,401,0.2402636309167166,0.08235294117647059,14.0
Potion Belt,388,0.23247453565008988,0.08823529411764706,15.0
Strawberry,381,0.22828040742959857,0.09411764705882353,16.0
Orichalcum,375,0.22468544038346316,0.1,17.0
Vajra,371,0.22228879568603954,0.10588235294117647,18.0
Cables,369,0.22109047333732773,0.11176470588235295,19.0
Omamori,368,0.22049131216297185,0.11764705882352941,20.0
Pen Nib,365,0.21869382863990414,0.12352941176470589,21.0
Bag of Marbles,363,0.21749550629119233,0.1323529411764706,22.5
Toxic Egg 2,363,0.21749550629119233,0.1323529411764706,22.5
Red Mask,351,0.21030557219892151,0.1411764705882353,24.0
Pantograph,339,0.20311563810665068,0.14705882352941177,25.0
Blood Vial,336,0.201318154583583,0.15294117647058825,26.0
Frozen Egg 2,328,0.19652486518873577,0.1588235294117647,27.0
Pear,324,0.19412822049131218,0.16470588235294117,28.0
Symbiotic Virus,320,0.19173157579388855,0.17058823529411765,29.0
Meat on the Bone,319,0.19113241461953265,0.17647058823529413,30.0
Regal Pillow,318,0.19053325344517674,0.18529411764705883,31.5
Whetstone,318,0.19053325344517674,0.18529411764705883,31.5
Mercury Hourglass,306,0.18334331935290593,0.19411764705882353,33.0
Ancient Tea Set,304,0.18214499700419412,0.2,34.0
Sundial,300,0.17974835230677053,0.20588235294117646,35.0
MawBank,292,0.1749550629119233,0.21176470588235294,36.0
