Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
AscendersBane,1646,0.9862192929898143,0.0024875621890547263,1.0,card
Dualcast,1513,0.9065308568004793,0.004975124378109453,2.0,card
Zap,1401,0.8394248052726183,0.007462686567164179,3.0,card
Cracked Core,1394,0.8352306770521271,0.009950248756218905,4.0,relic
Coolheaded,1357,0.8130617136009587,0.012437810945273632,5.0,card
Defragment,1163,0.6968244457759137,0.014925373134328358,6.0,card
Hologram,1141,0.6836428999400839,0.017412935323383085,7.0,card
Glacier,1039,0.6225284601557819,0.01990049751243781,8.0,card
Cold Snap,931,0.5578190533253445,0.022388059701492536,9.0,card
Capacitor,889,0.5326542840023967,0.024875621890547265,10.0,card
Echo Form,817,0.4895146794487717,0.02736318407960199,11.0,card
Ball Lightning,813,0.48711803475134813,0.029850746268656716,12.0,card
Self Repair,798,0.4781306171360096,0.03233830845771144,13.0,card
Loop,773,0.463151587777112,0.03482587064676617,14.0,card
Conserve Battery,772,0.46255242660275614,0.03731343283582089,15.0,card
Biased Cognition,725,0.4343918514080288,0.03980099502487562,16.0,card
Turbo,702,0.42061114439784303,0.04228855721393035,17.0,card
Chill,666,0.39904134212103054,0.04477611940298507,18.0,card
Compile Driver,648,0.38825644098262435,0.048507462686567165,19.5,card
Electrodynamics,648,0.38825644098262435,0.048507462686567165,19.5,card
Seek,590,0.35350509286998205,0.05223880597014925,21.0,card
DataDisk,586,0.35110844817255843,0.05472636815920398,22.0,relic
Core Surge,581,0.34811264230077893,0.05721393034825871,23.0,card
Consume,577,0.3457159976033553,0.05970149253731343,24.0,card
Go for the Eyes,572,0.3427201917315758,0.06218905472636816,25.0,card
Bag of Preparation,550,0.32953864589574594,0.06467661691542288,26.0,relic
Skim,545,0.32654284002396644,0.06716417910447761,27.0,card
White Noise,540,0.32354703415218694,0.06965174129353234,28.0,card
Recycle,527,0.3157579388855602,0.07213930348258707,29.0,card
Reinforced Body,500,0.2995805871779509,0.07462686567164178,30.0,card
Undo,497,0.29778310365488314,0.07711442786069651,31.0,card
Fission,467,0.2798082684242061,0.07960199004975124,32.0,card
NeowsBlessing,464,0.2780107849011384,0.08208955223880597,33.0,relic
Bronze Scales,463,0.2774116237267825,0.0845771144278607,34.0,relic
Anchor,459,0.2750149790293589,0.08706467661691543,35.0,relic
Happy Flower,453,0.27142001198322346,0.08955223880597014,36.0,relic
Heatsinks,452,0.2708208508088676,0.09203980099502487,37.0,card
Oddly Smooth Stone,442,0.2648292390653086,0.0945273631840796,38.0,relic
Buffer,428,0.25644098262432596,0.09950248756218906,40.0,card
Genetic Algorithm,428,0.25644098262432596,0.09950248756218906,40.0,card
Art of War,428,0.25644098262432596,0.09950248756218906,40.0,relic
Centennial Puzzle,427,0.25584182144997003,0.1044776119402985,42.0,relic
Lantern,424,0.25404433792690234,0.10696517412935323,43.0,relic
Creative AI,420,0.2516476932294787,0.10945273631840796,44.0,card
Mummified Hand,417,0.24985020970641103,0.11318407960199005,45.5,relic
PreservedInsect,417,0.24985020970641103,0.11318407960199005,45.5,relic
BootSequence,416,0.24925104853205513,0.11691542288557213,47.0,card
Sunder,409,0.24505692031156381,0.11940298507462686,48.0,card
War Paint,401,0.2402636309167166,0.12189054726368159,49.0,relic
Potion Belt,388,0.23247453565008988,0.12437810945273632,50.0,relic
Strawberry,381,0.22828040742959857,0.12686567164179105,51.0,relic
Leap,376,0.22528460155781904,0.12935323383084577,52.0,card
Orichalcum,375,0.22468544038346316,0.1318407960199005,53.0,relic
Vajra,371,0.22228879568603954,0.13432835820895522,54.0,relic
Cables,369,0.22109047333732773,0.13681592039800994,55.0,relic
Omamori,368,0.22049131216297185,0.13930348258706468,56.0,relic
Pen Nib,365,0.21869382863990414,0.1417910447761194,57.0,relic
