Resource,Frequency,Percent of Wins,Percentile Rank,Rank
AscendersBane,1682,0.9801864801864801,0.0036363636363636364,1.0
Shrug It Off,1399,0.8152680652680653,0.007272727272727273,2.0
Bash,1350,0.7867132867132867,0.01090909090909091,3.0
True Grit,1057,0.615967365967366,0.014545454545454545,4.0
Feel No Pain,1012,0.5897435897435898,0.01818181818181818,5.0
Battle Trance,858,0.5,0.02181818181818182,6.0
Armaments,794,0.4627039627039627,0.025454545454545455,7.0
Disarm,791,0.460955710955711,0.02909090909090909,8.0
Corruption,787,0.4586247086247086,0.03272727272727273,9.0
Offering,786,0.458041958041958,0.03636363636363636,10.0
Shockwave,785,0.4574592074592075,0.04,11.0
Impervious,716,0.4172494172494173,0.04363636363636364,12.0
Body Slam,700,0.40792540792540793,0.04727272727272727,13.0
Evolve,675,0.39335664335664333,0.05090909090909091,14.0
Reaper,652,0.37995337995337997,0.05454545454545454,15.0
Flame Barrier,637,0.3712121212121212,0.05818181818181818,16.0
Inflame,596,0.3473193473193473,0.06181818181818182,17.0
Pommel Strike,571,0.3327505827505827,0.06545454545454546,18.0
Second Wind,570,0.3321678321678322,0.06909090909090909,19.0
Power Through,562,0.3275058275058275,0.07454545454545454,20.5
Barricade,562,0.3275058275058275,0.07454545454545454,20.5
Burning Pact,556,0.32400932400932403,0.08,22.0
Spot Weakness,552,0.32167832167832167,0.08363636363636363,23.0
Demon Form,511,0.2977855477855478,0.08727272727272728,24.0
Feed,493,0.2872960372960373,0.09090909090909091,25.0
Limit Break,492,0.2867132867132867,0.09454545454545454,26.0
Uppercut,478,0.27855477855477856,0.09818181818181818,27.0
Fiend Fire,474,0.2762237762237762,0.10181818181818182,28.0
Warcry,469,0.2733100233100233,0.10545454545454545,29.0
Headbutt,460,0.2680652680652681,0.10909090909090909,30.0
Clothesline,455,0.26515151515151514,0.11272727272727273,31.0
Whirlwind,445,0.25932400932400934,0.11636363636363636,32.0
Sword Boomerang,442,0.25757575757575757,0.12,33.0
Entrench,437,0.25466200466200467,0.12363636363636364,34.0
Heavy Blade,434,0.2529137529137529,0.12727272727272726,35.0
Metallicize,428,0.2494172494172494,0.13090909090909092,36.0
Exhume,425,0.24766899766899766,0.13454545454545455,37.0
Immolate,399,0.23251748251748253,0.13818181818181818,38.0
Seeing Red,394,0.2296037296037296,0.14181818181818182,39.0
Ghostly Armor,393,0.229020979020979,0.14545454545454545,40.0
Dark Embrace,352,0.20512820512820512,0.14909090909090908,41.0
Havoc,332,0.19347319347319347,0.15272727272727274,42.0
Anger,321,0.18706293706293706,0.15636363636363637,43.0
Sentinel,320,0.1864801864801865,0.16,44.0
Dual Wield,314,0.18298368298368298,0.16363636363636364,45.0
Juggernaut,295,0.17191142191142192,0.16727272727272727,46.0
Pummel,270,0.15734265734265734,0.1709090909090909,47.0
Carnage,269,0.15675990675990675,0.17454545454545456,48.0
Iron Wave,247,0.14393939393939395,0.18,49.5
Double Tap,247,0.14393939393939395,0.18,49.5
Twin Strike,240,0.13986013986013987,0.18545454545454546,51.0
Cleave,206,0.12004662004662005,0.1890909090909091,52.0
Thunderclap,197,0.1148018648018648,0.19272727272727272,53.0
Rage,195,0.11363636363636363,0.19636363636363635,54.0
Flex,189,0.11013986013986014,0.2,55.0
Rampage,176,0.10256410256410256,0.20363636363636364,56.0
Apotheosis,172,0.10023310023310024,0.20727272727272728,57.0
Intimidate,164,0.09557109557109557,0.21272727272727274,58.5
Bludgeon,164,0.09557109557109557,0.21272727272727274,58.5
Ghostly,161,0.09382284382284382,0.21818181818181817,60.0
Dropkick,156,0.09090909090909091,0.22181818181818183,61.0
Bloodletting,134,0.0780885780885781,0.22545454545454546,62.0
Dark Shackles,129,0.07517482517482517,0.2290909090909091,63.0
Infernal Blade,126,0.07342657342657342,0.23272727272727273,64.0
Wild Strike,125,0.07284382284382285,0.2381818181818182,65.5
Master of Strategy,125,0.07284382284382285,0.2381818181818182,65.5
