Resource,Frequency,Percent of Wins,Percentile Rank,Rank
Burning Blood,1554,0.9055944055944056,0.0058823529411764705,1.0
Bag of Preparation,558,0.32517482517482516,0.011764705882352941,2.0
Oddly Smooth Stone,527,0.3071095571095571,0.01764705882352941,3.0
Centennial Puzzle,488,0.28438228438228436,0.023529411764705882,4.0
Bronze Scales,480,0.27972027972027974,0.029411764705882353,5.0
Bag of Marbles,471,0.2744755244755245,0.03529411764705882,6.0
Happy Flower,470,0.2738927738927739,0.041176470588235294,7.0
Lantern,458,0.2668997668997669,0.047058823529411764,8.0
Anchor,457,0.2663170163170163,0.052941176470588235,9.0
War Paint,451,0.26282051282051283,0.058823529411764705,10.0
Red Skull,446,0.25990675990675993,0.06470588235294118,11.0
Vajra,441,0.256993006993007,0.07058823529411765,12.0
Snecko Eye,438,0.25524475524475526,0.07647058823529412,13.0
Pen Nib,433,0.2523310023310023,0.08235294117647059,14.0
Self Forming Clay,431,0.2511655011655012,0.08823529411764706,15.0
PreservedInsect,421,0.24533799533799533,0.09411764705882353,16.0
Red Mask,417,0.243006993006993,0.1,17.0
Strawberry,409,0.23834498834498835,0.10588235294117647,18.0
Orichalcum,402,0.23426573426573427,0.11176470588235295,19.0
Whetstone,386,0.22494172494172493,0.11764705882352941,20.0
Blood Vial,377,0.2196969696969697,0.12352941176470589,21.0
Omamori,371,0.2162004662004662,0.12941176470588237,22.0
Potion Belt,370,0.21561771561771562,0.13823529411764707,23.5
NeowsBlessing,370,0.21561771561771562,0.13823529411764707,23.5
Mummified Hand,365,0.2127039627039627,0.15,25.5
Paper Frog,365,0.2127039627039627,0.15,25.5
Mercury Hourglass,364,0.21212121212121213,0.1588235294117647,27.0
Dead Branch,357,0.20804195804195805,0.16470588235294117,28.0
Gremlin Horn,353,0.2057109557109557,0.17352941176470588,29.5
Ancient Tea Set,353,0.2057109557109557,0.17352941176470588,29.5
Pantograph,345,0.20104895104895104,0.18235294117647058,31.0
Toxic Egg 2,344,0.20046620046620048,0.18823529411764706,32.0
Art of War,338,0.19696969696969696,0.19411764705882353,33.0
Boot,336,0.1958041958041958,0.2,34.0
Sundial,330,0.19230769230769232,0.20588235294117646,35.0
Juzu Bracelet,327,0.19055944055944055,0.21176470588235294,36.0
Smiling Mask,325,0.1893939393939394,0.21764705882352942,37.0
Kunai,320,0.1864801864801865,0.2235294117647059,38.0
MawBank,319,0.1858974358974359,0.22941176470588234,39.0
Pear,316,0.18414918414918416,0.23529411764705882,40.0
Meat on the Bone,311,0.18123543123543123,0.2411764705882353,41.0
Letter Opener,309,0.18006993006993008,0.24705882352941178,42.0
Dream Catcher,303,0.17657342657342656,0.2529411764705882,43.0
Singing Bowl,299,0.17424242424242425,0.25882352941176473,44.0
Cursed Key,298,0.17365967365967366,0.2647058823529412,45.0
Molten Egg 2,293,0.17074592074592074,0.27058823529411763,46.0
