Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
AscendersBane,1682,0.9801864801864801,0.0022471910112359553,1.0,card
Burning Blood,1554,0.9055944055944056,0.0044943820224719105,2.0,relic
Shrug It Off,1399,0.8152680652680653,0.006741573033707865,3.0,card
Bash,1350,0.7867132867132867,0.008988764044943821,4.0,card
True Grit,1057,0.615967365967366,0.011235955056179775,5.0,card
Feel No Pain,1012,0.5897435897435898,0.01348314606741573,6.0,card
Battle Trance,858,0.5,0.015730337078651686,7.0,card
Armaments,794,0.4627039627039627,0.017977528089887642,8.0,card
Disarm,791,0.460955710955711,0.020224719101123594,9.0,card
Corruption,787,0.4586247086247086,0.02247191011235955,10.0,card
Offering,786,0.458041958041958,0.024719101123595506,11.0,card
Shockwave,785,0.4574592074592075,0.02696629213483146,12.0,card
Impervious,716,0.4172494172494173,0.029213483146067417,13.0,card
Body Slam,700,0.40792540792540793,0.03146067415730337,14.0,card
Evolve,675,0.39335664335664333,0.033707865168539325,15.0,card
Reaper,652,0.37995337995337997,0.035955056179775284,16.0,card
Flame Barrier,637,0.3712121212121212,0.038202247191011236,17.0,card
Inflame,596,0.3473193473193473,0.04044943820224719,18.0,card
Pommel Strike,571,0.3327505827505827,0.04269662921348315,19.0,card
Second Wind,570,0.3321678321678322,0.0449438202247191,20.0,card
Power Through,562,0.3275058275058275,0.048314606741573035,21.5,card
Barricade,562,0.3275058275058275,0.048314606741573035,21.5,card
Bag of Preparation,558,0.32517482517482516,0.051685393258426963,23.0,relic
Burning Pact,556,0.32400932400932403,0.05393258426966292,24.0,card
Spot Weakness,552,0.32167832167832167,0.056179775280898875,25.0,card
Oddly Smooth Stone,527,0.3071095571095571,0.058426966292134834,26.0,relic
Demon Form,511,0.2977855477855478,0.060674157303370786,27.0,card
Feed,493,0.2872960372960373,0.06292134831460675,28.0,card
Limit Break,492,0.2867132867132867,0.0651685393258427,29.0,card
Centennial Puzzle,488,0.28438228438228436,0.06741573033707865,30.0,relic
Bronze Scales,480,0.27972027972027974,0.0696629213483146,31.0,relic
Uppercut,478,0.27855477855477856,0.07191011235955057,32.0,card
Fiend Fire,474,0.2762237762237762,0.07415730337078652,33.0,card
Bag of Marbles,471,0.2744755244755245,0.07640449438202247,34.0,relic
Happy Flower,470,0.2738927738927739,0.07865168539325842,35.0,relic
Warcry,469,0.2733100233100233,0.08089887640449438,36.0,card
Headbutt,460,0.2680652680652681,0.08314606741573034,37.0,card
Lantern,458,0.2668997668997669,0.0853932584269663,38.0,relic
Anchor,457,0.2663170163170163,0.08764044943820225,39.0,relic
Clothesline,455,0.26515151515151514,0.0898876404494382,40.0,card
War Paint,451,0.26282051282051283,0.09213483146067415,41.0,relic
Red Skull,446,0.25990675990675993,0.09438202247191012,42.0,relic
Whirlwind,445,0.25932400932400934,0.09662921348314607,43.0,card
Sword Boomerang,442,0.25757575757575757,0.09887640449438202,44.0,card
Vajra,441,0.256993006993007,0.10112359550561797,45.0,relic
Snecko Eye,438,0.25524475524475526,0.10337078651685393,46.0,relic
Entrench,437,0.25466200466200467,0.10561797752808989,47.0,card
Heavy Blade,434,0.2529137529137529,0.10786516853932585,48.0,card
Pen Nib,433,0.2523310023310023,0.1101123595505618,49.0,relic
Self Forming Clay,431,0.2511655011655012,0.11235955056179775,50.0,relic
Metallicize,428,0.2494172494172494,0.1146067415730337,51.0,card
Exhume,425,0.24766899766899766,0.11685393258426967,52.0,card
PreservedInsect,421,0.24533799533799533,0.11910112359550562,53.0,relic
Red Mask,417,0.243006993006993,0.12134831460674157,54.0,relic
Strawberry,409,0.23834498834498835,0.12359550561797752,55.0,relic
Orichalcum,402,0.23426573426573427,0.1258426966292135,56.0,relic
Immolate,399,0.23251748251748253,0.12808988764044943,57.0,card
Seeing Red,394,0.2296037296037296,0.1303370786516854,58.0,card
Ghostly Armor,393,0.229020979020979,0.13258426966292136,59.0,card
Whetstone,386,0.22494172494172493,0.1348314606741573,60.0,relic
Blood Vial,377,0.2196969696969697,0.13707865168539327,61.0,relic
Omamori,371,0.2162004662004662,0.1393258426966292,62.0,relic
Potion Belt,370,0.21561771561771562,0.14269662921348314,63.5,relic
NeowsBlessing,370,0.21561771561771562,0.14269662921348314,63.5,relic
Mummified Hand,365,0.2127039627039627,0.14719101123595504,65.5,relic
Paper Frog,365,0.2127039627039627,0.14719101123595504,65.5,relic
Mercury Hourglass,364,0.21212121212121213,0.15056179775280898,67.0,relic
Dead Branch,357,0.20804195804195805,0.15280898876404495,68.0,relic
Gremlin Horn,353,0.2057109557109557,0.15617977528089888,69.5,relic
Ancient Tea Set,353,0.2057109557109557,0.15617977528089888,69.5,relic
Dark Embrace,352,0.20512820512820512,0.15955056179775282,71.0,card
Pantograph,345,0.20104895104895104,0.16179775280898875,72.0,relic
Toxic Egg 2,344,0.20046620046620048,0.16404494382022472,73.0,relic
