Resource,Frequency,Percent of Wins,Percentile Rank,Rank
AscendersBane,1785,0.9856432909994478,0.0035460992907801418,1.0
Survivor,1644,0.9077857537272225,0.0070921985815602835,2.0
Neutralize,1643,0.9072335726118167,0.010638297872340425,3.0
Backflip,1425,0.7868580894533407,0.014184397163120567,4.0
Well Laid Plans,1187,0.6554389839867476,0.01773049645390071,5.0
Acrobatics,1142,0.6305908337934842,0.02127659574468085,6.0
Footwork,1078,0.5952512424075097,0.024822695035460994,7.0
PiercingWail,973,0.537272225289895,0.028368794326241134,8.0
Noxious Fumes,839,0.4632799558255108,0.031914893617021274,9.0
Deadly Poison,774,0.4273881833241303,0.03546099290780142,10.0
Catalyst,759,0.41910546659304254,0.03900709219858156,11.0
Calculated Gamble,747,0.4124792932081723,0.0425531914893617,12.0
Adrenaline,717,0.3959138597459967,0.04609929078014184,13.0
After Image,658,0.36333517393705134,0.04964539007092199,14.0
Escape Plan,651,0.35946990612921037,0.05319148936170213,15.0
Tactician,648,0.3578133627829928,0.05673758865248227,16.0
Leg Sweep,623,0.3440088348978465,0.06028368794326241,17.0
Dodge and Roll,599,0.33075648812810604,0.06382978723404255,18.0
Prepared,565,0.311982330204307,0.0673758865248227,19.0
Cloak And Dagger,563,0.3108779679734953,0.07092198581560284,20.0
Malaise,559,0.3086692435118719,0.07446808510638298,21.0
Crippling Poison,554,0.3059083379348426,0.07801418439716312,22.0
Bouncing Flask,528,0.29155162893429043,0.08156028368794327,23.0
Wraith Form v2,527,0.2909994478188846,0.0851063829787234,24.0
Corpse Explosion,518,0.2860298177802319,0.08865248226950355,25.0
Burst,490,0.27056874654886803,0.09219858156028368,26.0
Blur,483,0.26670347874102707,0.09574468085106383,27.0
Deflect,435,0.2401987852015461,0.09929078014184398,28.0
Night Terror,408,0.22528989508558808,0.10283687943262411,29.0
Reflex,388,0.21424627277747102,0.10638297872340426,30.0
Grand Finale,375,0.20706791827719492,0.1099290780141844,31.0
Dash,374,0.20651573716178906,0.11347517730496454,32.0
Poisoned Stab,349,0.19271120927664273,0.11702127659574468,33.0
Terror,348,0.1921590281612369,0.12056737588652482,34.0
Backstab,347,0.19160684704583103,0.12411347517730496,35.0
Caltrops,332,0.18332413031474323,0.12943262411347517,36.5
Dagger Spray,332,0.18332413031474323,0.12943262411347517,36.5
