Resource,Frequency,Percent of Wins,Percentile Rank,Rank
Ring of the Snake,1493,0.8244064053009387,0.004608294930875576,1.0
Oddly Smooth Stone,546,0.3014908890115958,0.009216589861751152,2.0
Bag of Preparation,532,0.2937603533959139,0.013824884792626729,3.0
NeowsBlessing,484,0.2672556598564329,0.018433179723502304,4.0
Snake Skull,482,0.26615129762562123,0.02304147465437788,5.0
Art of War,475,0.2622860298177802,0.027649769585253458,6.0
Lantern,472,0.2606294864715627,0.03225806451612903,7.0
Anchor,469,0.25897294312534513,0.03686635944700461,8.0
Bag of Marbles,448,0.2473771397018222,0.04377880184331797,9.5
Happy Flower,448,0.2473771397018222,0.04377880184331797,9.5
Pen Nib,444,0.24516841524019878,0.05069124423963134,11.0
Centennial Puzzle,442,0.24406405300938708,0.055299539170506916,12.0
War Paint,441,0.2435118718939812,0.059907834101382486,13.0
Bronze Scales,437,0.2413031474323578,0.06451612903225806,14.0
Pantograph,423,0.23357261181667588,0.07142857142857142,15.5
Paper Crane,423,0.23357261181667588,0.07142857142857142,15.5
Vajra,412,0.22749861954721148,0.07834101382488479,17.0
Strawberry,409,0.22584207620099392,0.08294930875576037,18.0
Toxic Egg 2,388,0.21424627277747102,0.08755760368663594,19.0
Red Mask,384,0.2120375483158476,0.09216589861751152,20.0
Blood Vial,382,0.2109331860850359,0.0967741935483871,21.0
PreservedInsect,376,0.20762009939260076,0.10138248847926268,22.0
Orichalcum,372,0.20541137493097736,0.10599078341013825,23.0
Mummified Hand,371,0.2048591938155715,0.11059907834101383,24.0
Potion Belt,370,0.20430701270016566,0.1152073732718894,25.0
Mercury Hourglass,369,0.2037548315847598,0.11981566820276497,26.0
Kunai,366,0.20209828823854223,0.12672811059907835,27.5
Boot,366,0.20209828823854223,0.12672811059907835,27.5
Shuriken,365,0.2015461071231364,0.1336405529953917,29.0
Runic Pyramid,361,0.19933738266151296,0.1382488479262673,30.0
Sundial,352,0.1943677526228603,0.14285714285714285,31.0
Letter Opener,332,0.18332413031474323,0.14746543778801843,32.0
Pandora's Box,331,0.18277194919933737,0.1543778801843318,33.5
Omamori,331,0.18277194919933737,0.1543778801843318,33.5
Meat on the Bone,330,0.18221976808393153,0.16129032258064516,35.0
Gremlin Horn,325,0.17945886250690227,0.16589861751152074,36.0
MawBank,320,0.176697956929873,0.17050691244239632,37.0
Whetstone,319,0.17614577581446714,0.1774193548387097,38.5
Ornamental Fan,319,0.17614577581446714,0.1774193548387097,38.5
Juzu Bracelet,314,0.17338487023743787,0.18433179723502305,40.0
Pear,312,0.17228050800662617,0.1889400921658986,41.0
Ancient Tea Set,311,0.1717283268912203,0.1935483870967742,42.0
Astrolabe,301,0.1662065157371618,0.19815668202764977,43.0
Smiling Mask,295,0.16289342904472667,0.20506912442396313,44.5
Regal Pillow,295,0.16289342904472667,0.20506912442396313,44.5
Bottled Lightning,291,0.16068470458310327,0.2119815668202765,46.0
Frozen Egg 2,280,0.15461071231363888,0.21658986175115208,47.0
Dodecahedron,278,0.15350635008282718,0.22350230414746544,48.5
Dream Catcher,278,0.15350635008282718,0.22350230414746544,48.5
Question Card,273,0.1507454445057979,0.2304147465437788,50.0
Coffee Dripper,269,0.14853672004417448,0.2350230414746544,51.0
Gambling Chip,264,0.14577581446714521,0.23963133640552994,52.0
Empty Cage,260,0.1435670900055218,0.24423963133640553,53.0
The Courier,252,0.13914964108227498,0.2511520737327189,54.5
Molten Egg 2,252,0.13914964108227498,0.2511520737327189,54.5
Singing Bowl,248,0.13694091662065158,0.25806451612903225,56.0
Cursed Key,247,0.13638873550524572,0.2626728110599078,57.0
Blue Candle,244,0.13473219215902815,0.2672811059907834,58.0
Ninja Scroll,243,0.13418001104362232,0.271889400921659,59.0
Tiny Chest,240,0.13252346769740475,0.2764976958525346,60.0
Bottled Tornado,234,0.12921038100496962,0.2834101382488479,61.5
Tough Bandages,234,0.12921038100496962,0.2834101382488479,61.5
Incense Burner,228,0.12589729431253452,0.2903225806451613,63.0
Matryoshka,226,0.1247929320817228,0.29493087557603687,64.0
Thread and Needle,223,0.12313638873550524,0.2995391705069124,65.0
FossilizedHelix,219,0.12092766427388184,0.3064516129032258,66.5
Mango,219,0.12092766427388184,0.3064516129032258,66.5
Darkstone Periapt,203,0.11209276642738818,0.31336405529953915,68.0
Sozu,201,0.11098840419657648,0.31797235023041476,69.0
Torii,199,0.10988404196576478,0.3225806451612903,70.0
Black Star,192,0.1060187741579238,0.3271889400921659,71.0
