Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
AscendersBane,1785,0.9856432909994478,0.002004008016032064,1.0,card
Survivor,1644,0.9077857537272225,0.004008016032064128,2.0,card
Neutralize,1643,0.9072335726118167,0.006012024048096192,3.0,card
Ring of the Snake,1493,0.8244064053009387,0.008016032064128256,4.0,relic
Backflip,1425,0.7868580894533407,0.01002004008016032,5.0,card
Well Laid Plans,1187,0.6554389839867476,0.012024048096192385,6.0,card
Acrobatics,1142,0.6305908337934842,0.014028056112224449,7.0,card
Footwork,1078,0.5952512424075097,0.01603206412825651,8.0,card
PiercingWail,973,0.537272225289895,0.018036072144288578,9.0,card
Noxious Fumes,839,0.4632799558255108,0.02004008016032064,10.0,card
Deadly Poison,774,0.4273881833241303,0.022044088176352707,11.0,card
Catalyst,759,0.41910546659304254,0.02404809619238477,12.0,card
Calculated Gamble,747,0.4124792932081723,0.026052104208416832,13.0,card
Adrenaline,717,0.3959138597459967,0.028056112224448898,14.0,card
After Image,658,0.36333517393705134,0.03006012024048096,15.0,card
Escape Plan,651,0.35946990612921037,0.03206412825651302,16.0,card
Tactician,648,0.3578133627829928,0.03406813627254509,17.0,card
Leg Sweep,623,0.3440088348978465,0.036072144288577156,18.0,card
Dodge and Roll,599,0.33075648812810604,0.03807615230460922,19.0,card
Prepared,565,0.311982330204307,0.04008016032064128,20.0,card
Cloak And Dagger,563,0.3108779679734953,0.04208416833667335,21.0,card
Malaise,559,0.3086692435118719,0.04408817635270541,22.0,card
Crippling Poison,554,0.3059083379348426,0.04609218436873747,23.0,card
Oddly Smooth Stone,546,0.3014908890115958,0.04809619238476954,24.0,relic
Bag of Preparation,532,0.2937603533959139,0.050100200400801605,25.0,relic
Bouncing Flask,528,0.29155162893429043,0.052104208416833664,26.0,card
Wraith Form v2,527,0.2909994478188846,0.05410821643286573,27.0,card
Corpse Explosion,518,0.2860298177802319,0.056112224448897796,28.0,card
Burst,490,0.27056874654886803,0.05811623246492986,29.0,card
NeowsBlessing,484,0.2672556598564329,0.06012024048096192,30.0,relic
Blur,483,0.26670347874102707,0.06212424849699399,31.0,card
Snake Skull,482,0.26615129762562123,0.06412825651302605,32.0,relic
Art of War,475,0.2622860298177802,0.06613226452905811,33.0,relic
Lantern,472,0.2606294864715627,0.06813627254509018,34.0,relic
Anchor,469,0.25897294312534513,0.07014028056112225,35.0,relic
Bag of Marbles,448,0.2473771397018222,0.07314629258517034,36.5,relic
Happy Flower,448,0.2473771397018222,0.07314629258517034,36.5,relic
Pen Nib,444,0.24516841524019878,0.07615230460921844,38.0,relic
Centennial Puzzle,442,0.24406405300938708,0.0781563126252505,39.0,relic
War Paint,441,0.2435118718939812,0.08016032064128256,40.0,relic
Bronze Scales,437,0.2413031474323578,0.08216432865731463,41.0,relic
Deflect,435,0.2401987852015461,0.0841683366733467,42.0,card
Pantograph,423,0.23357261181667588,0.0871743486973948,43.5,relic
Paper Crane,423,0.23357261181667588,0.0871743486973948,43.5,relic
Vajra,412,0.22749861954721148,0.09018036072144289,45.0,relic
Strawberry,409,0.22584207620099392,0.09218436873747494,46.0,relic
Night Terror,408,0.22528989508558808,0.09418837675350701,47.0,card
Reflex,388,0.21424627277747102,0.09719438877755511,48.5,card
