,resource,frequency,type,rank,percentile
9,AscendersBane,1646,card,1.0,0.0049261083743842365
71,Dualcast,1513,card,2.0,0.009852216748768473
202,Zap,1401,card,3.0,0.014778325123152709
44,Coolheaded,1357,card,4.0,0.019704433497536946
58,Defend_B,1207,card,5.0,0.024630541871921183
62,Defragment,1163,card,6.0,0.029556650246305417
102,Hologram,1141,card,7.0,0.034482758620689655
93,Glacier,1039,card,8.0,0.03940886699507389
38,Cold Snap,931,card,9.0,0.04433497536945813
30,Capacitor,889,card,10.0,0.04926108374384237
72,Echo Form,817,card,11.0,0.054187192118226604
13,Ball Lightning,813,card,12.0,0.059113300492610835
166,Self Repair,798,card,13.0,0.06403940886699508
117,Loop,773,card,14.0,0.06896551724137931
42,Conserve Battery,772,card,15.0,0.07389162561576355
19,Biased Cognition,725,card,16.0,0.07881773399014778
194,Turbo,702,card,17.0,0.08374384236453201
32,Chill,666,card,18.0,0.08866995073891626
73,Electrodynamics,648,card,19.5,0.0960591133004926
40,Compile Driver,648,card,19.5,0.0960591133004926
165,Seek,590,card,21.0,0.10344827586206896
45,Core Surge,581,card,22.0,0.10837438423645321
43,Consume,577,card,23.0,0.11330049261083744
94,Go for the Eyes,572,card,24.0,0.11822660098522167
169,Skim,545,card,25.0,0.12315270935960591
178,Strike_B,544,card,26.0,0.12807881773399016
199,White Noise,540,card,27.0,0.1330049261083744
151,Recycle,527,card,28.0,0.13793103448275862
154,Reinforced Body,500,card,29.0,0.14285714285714285
196,Undo,497,card,30.0,0.1477832512315271
80,Fission,467,card,31.0,0.15270935960591134
99,Heatsinks,452,card,32.0,0.15763546798029557
26,Buffer,428,card,33.5,0.16502463054187191
90,Genetic Algorithm,428,card,33.5,0.16502463054187191
47,Creative AI,420,card,35.0,0.1724137931034483
25,BootSequence,416,card,36.0,0.17733990147783252
182,Sunder,409,card,37.0,0.18226600985221675
114,Leap,376,card,38.0,0.18719211822660098
68,Double Energy,355,card,39.0,0.1921182266009852
4,All For One,334,card,40.0,0.19704433497536947
76,FTL,327,card,41.0,0.2019704433497537
23,Blizzard,320,card,42.0,0.20689655172413793
152,Redo,299,card,43.0,0.21182266009852216
89,Gash,296,card,44.0,0.21674876847290642
54,Darkness,290,card,45.0,0.22167487684729065
172,Stack,289,card,46.0,0.22660098522167488
18,Beam Cell,285,card,47.0,0.2315270935960591
173,Static Discharge,283,card,48.0,0.23645320197044334
127,Meteor Strike,277,card,49.0,0.2413793103448276
67,Doom and Gloom,270,card,50.0,0.24630541871921183
174,Steam,266,card,51.0,0.2512315270935961
149,Reboot,260,card,52.5,0.25862068965517243
187,Tempest,260,card,52.5,0.25862068965517243
129,Multi-Cast,252,card,54.5,0.2684729064039409
184,Sweeping Beam,252,card,54.5,0.2684729064039409
147,Rainbow,246,card,56.0,0.27586206896551724
177,Streamline,241,card,57.0,0.28078817733990147
86,Force Field,239,card,58.0,0.2857142857142857
5,Amplify,223,card,59.0,0.29064039408866993
118,Machine Learning,220,card,60.0,0.2955665024630542
31,Chaos,219,card,61.0,0.30049261083743845
15,Barrage,218,card,62.0,0.3054187192118227
7,Apotheosis,203,card,63.0,0.3103448275862069
88,Fusion,194,card,64.0,0.31527093596059114
190,Thunder Strike,190,card,65.5,0.3226600985221675
176,Storm,190,card,65.5,0.3226600985221675
137,Panacea,178,card,67.0,0.33004926108374383
10,Auto Shields,169,card,68.0,0.33497536945812806
91,Ghostly,168,card,69.0,0.3399014778325123
116,Lockon,127,card,70.0,0.3448275862068966
65,Discovery,119,card,71.0,0.3497536945812808
150,Rebound,111,card,72.0,0.35467980295566504
175,Steam Power,110,card,73.0,0.35960591133004927
124,Melter,109,card,74.0,0.3645320197044335
122,Master of Strategy,106,card,75.0,0.3694581280788177
156,Reprogram,103,card,76.0,0.37438423645320196
157,Rip and Tear,98,card,77.0,0.3793103448275862
105,Impatience,95,card,78.0,0.3842364532019704
119,Madness,91,card,79.0,0.3891625615763547
3,Aggregate,86,card,80.0,0.39408866995073893
101,Hello World,84,card,81.0,0.39901477832512317
53,Dark Shackles,80,card,82.0,0.4039408866995074
79,Finesse,77,card,83.0,0.4088669950738916
140,Parasite,65,card,84.0,0.41379310344827586
