,resource,frequency,type,rank,percentile
240,Cracked Core,1394,relic,1.0,0.0058823529411764705
244,DataDisk,586,relic,2.0,0.011764705882352941
210,Bag of Preparation,550,relic,3.0,0.01764705882352941
298,NeowsBlessing,464,relic,4.0,0.023529411764705882
224,Bronze Scales,463,relic,5.0,0.029411764705882353
204,Anchor,459,relic,6.0,0.03529411764705882
270,Happy Flower,453,relic,7.0,0.041176470588235294
306,Oddly Smooth Stone,442,relic,8.0,0.047058823529411764
207,Art of War,428,relic,9.0,0.052941176470588235
233,Centennial Puzzle,427,relic,10.0,0.058823529411764705
280,Lantern,424,relic,11.0,0.06470588235294118
295,Mummified Hand,417,relic,12.5,0.07352941176470588
323,PreservedInsect,417,relic,12.5,0.07352941176470588
368,War Paint,401,relic,14.0,0.08235294117647059
321,Potion Belt,388,relic,15.0,0.08823529411764706
349,Strawberry,381,relic,16.0,0.09411764705882353
311,Orichalcum,375,relic,17.0,0.1
366,Vajra,371,relic,18.0,0.10588235294117647
227,Cables,369,relic,19.0,0.11176470588235295
308,Omamori,368,relic,20.0,0.11764705882352941
318,Pen Nib,365,relic,21.0,0.12352941176470589
209,Bag of Marbles,363,relic,22.5,0.1323529411764706
362,Toxic Egg 2,363,relic,22.5,0.1323529411764706
327,Red Mask,351,relic,24.0,0.1411764705882353
315,Pantograph,339,relic,25.0,0.14705882352941177
216,Blood Vial,336,relic,26.0,0.15294117647058825
258,Frozen Egg 2,328,relic,27.0,0.1588235294117647
317,Pear,324,relic,28.0,0.16470588235294117
352,Symbiotic Virus,320,relic,29.0,0.17058823529411765
290,Meat on the Bone,319,relic,30.0,0.17647058823529413
328,Regal Pillow,318,relic,31.5,0.18529411764705883
370,Whetstone,318,relic,31.5,0.18529411764705883
293,Mercury Hourglass,306,relic,33.0,0.19411764705882353
205,Ancient Tea Set,304,relic,34.0,0.2
351,Sundial,300,relic,35.0,0.20588235294117646
288,MawBank,292,relic,36.0,0.21176470588235294
220,Boot,291,relic,37.0,0.21764705882352942
248,Dream Catcher,288,relic,39.0,0.22941176470588234
278,Juzu Bracelet,288,relic,39.0,0.22941176470588234
282,Letter Opener,288,relic,39.0,0.22941176470588234
340,Smiling Mask,287,relic,41.0,0.2411764705882353
279,Kunai,286,relic,42.0,0.24705882352941178
314,Pandora's Box,284,relic,43.0,0.2529411764705882
222,Bottled Lightning,283,relic,44.0,0.25882352941176473
223,Bottled Tornado,280,relic,45.5,0.2676470588235294
336,Shuriken,280,relic,45.5,0.2676470588235294
266,Gremlin Horn,278,relic,47.0,0.27647058823529413
333,Runic Pyramid,267,relic,48.0,0.2823529411764706
218,Blue Candle,262,relic,49.0,0.28823529411764703
338,Singing Bowl,258,relic,50.0,0.29411764705882354
357,Tiny Chest,250,relic,51.0,0.3
312,Ornamental Fan,249,relic,52.0,0.3058823529411765
277,Inserter,246,relic,53.0,0.31176470588235294
342,Snecko Eye,245,relic,54.5,0.3205882352941177
262,Gambling Chip,245,relic,54.5,0.3205882352941177
303,Nuclear Battery,243,relic,56.5,0.3323529411764706
214,Bird Faced Urn,243,relic,56.5,0.3323529411764706
325,Question Card,236,relic,58.0,0.3411764705882353
353,The Courier,235,relic,59.5,0.35
246,Dodecahedron,235,relic,59.5,0.35
273,Ice Cream,234,relic,61.0,0.3588235294117647
208,Astrolabe,232,relic,62.0,0.36470588235294116
294,Molten Egg 2,226,relic,63.0,0.37058823529411766
257,FossilizedHelix,223,relic,64.0,0.3764705882352941
320,Pocketwatch,222,relic,65.0,0.38235294117647056
284,Mango,216,relic,66.0,0.38823529411764707
360,Torii,215,relic,67.0,0.3941176470588235
274,Incense Burner,214,relic,68.0,0.4
287,Matryoshka,213,relic,69.0,0.40588235294117647
228,Calipers,212,relic,70.0,0.4117647058823529
238,Coffee Dripper,211,relic,71.0,0.4176470588235294
242,Cursed Key,202,relic,72.0,0.4235294117647059
245,Dead Branch,198,relic,73.0,0.4294117647058823
322,Prayer Wheel,196,relic,74.0,0.43529411764705883
243,Darkstone Periapt,195,relic,75.0,0.4411764705882353
261,Fusion Hammer,192,relic,76.0,0.4470588235294118
355,Thread and Needle,180,relic,77.0,0.45294117647058824
307,Old Coin,178,relic,78.0,0.4588235294117647
252,Emotion Chip,175,relic,80.0,0.47058823529411764
265,Golden Idol,175,relic,80.0,0.47058823529411764
344,Sozu,175,relic,80.0,0.47058823529411764
292,Membership Card,172,relic,82.5,0.4852941176470588
347,StoneCalendar,172,relic,82.5,0.4852941176470588
221,Bottled Flame,171,relic,84.0,0.49411764705882355
331,Runic Capacitor,169,relic,85.0,0.5
364,Turnip,168,relic,86.0,0.5058823529411764
365,Unceasing Top,167,relic,87.5,0.5147058823529411
304,Nunchaku,167,relic,87.5,0.5147058823529411
310,OrangePellets,164,relic,89.0,0.5235294117647059
237,ClockworkSouvenir,158,relic,90.0,0.5294117647058824
369,WarpedTongs,156,relic,91.0,0.5352941176470588
316,Peace Pipe,154,relic,92.5,0.5441176470588235
250,Du-Vu Doll,154,relic,92.5,0.5441176470588235
226,Busted Crown,134,relic,94.0,0.5529411764705883
263,Ginger,133,relic,95.0,0.5588235294117647
335,Shovel,131,relic,96.0,0.5647058823529412
319,Philosopher's Stone,130,relic,97.0,0.5705882352941176
372,WingedGreaves,128,relic,98.0,0.5764705882352941
215,Black Star,125,relic,99.0,0.5823529411764706
253,Empty Cage,119,relic,100.0,0.5882352941176471
332,Runic Dome,115,relic,101.0,0.5941176470588235
313,Orrery,111,relic,102.0,0.6
291,Medical Kit,108,relic,103.0,0.6058823529411764
264,Girya,106,relic,104.0,0.611764705882353
260,FrozenCore,103,relic,105.0,0.6176470588235294
305,Odd Mushroom,101,relic,106.0,0.6235294117647059
247,DollysMirror,90,relic,107.0,0.6294117647058823
367,Velvet Choker,85,relic,108.0,0.6352941176470588
254,Enchiridion,71,relic,109.0,0.6411764705882353
217,Bloody Idol,69,relic,110.0,0.6470588235294118
229,Calling Bell,67,relic,111.5,0.6558823529411765
286,Mark of the Bloom,67,relic,111.5,0.6558823529411765
283,Lizard Tail,63,relic,113.0,0.6647058823529411
281,Lee's Waffle,57,relic,114.0,0.6705882352941176
354,TheAbacus,55,relic,115.0,0.6764705882352942
358,Tiny House,52,relic,116.0,0.6823529411764706
255,Eternal Feather,51,relic,117.0,0.6882352941176471
299,Nilry's Codex,47,relic,118.0,0.6941176470588235
235,Chemical X,39,relic,119.0,0.7
259,Frozen Eye,37,relic,120.5,0.7088235294117647
256,FaceOfCleric,37,relic,120.5,0.7088235294117647
324,PrismaticShard,35,relic,122.0,0.7176470588235294
346,SsserpentHead,34,relic,123.5,0.7264705882352941
297,Necronomicon,34,relic,123.5,0.7264705882352941
251,Ectoplasm,33,relic,126.0,0.7411764705882353
296,MutagenicStrength,33,relic,126.0,0.7411764705882353
301,Nloth's Gift,33,relic,126.0,0.7411764705882353
371,White Beast Statue,31,relic,128.0,0.7529411764705882
241,CultistMask,24,relic,129.5,0.7617647058823529
348,Strange Spoon,24,relic,129.5,0.7617647058823529
363,Toy Ornithopter,20,relic,131.0,0.7705882352941177
345,Spirit Poop,16,relic,132.0,0.7764705882352941
267,GremlinMask,15,relic,133.5,0.7852941176470588
339,Sling,15,relic,133.5,0.7852941176470588
359,Toolbox,13,relic,135.0,0.7941176470588235
302,NlothsMask,8,relic,136.0,0.8
269,HandDrill,7,relic,137.0,0.8058823529411765
289,MealTicket,6,relic,138.0,0.8117647058823529
276,InkBottle,5,relic,139.0,0.8176470588235294
236,CloakClasp,4,relic,140.0,0.8235294117647058
230,CaptainsWheel,3,relic,142.5,0.8382352941176471
334,SacredBark,3,relic,142.5,0.8382352941176471
350,StrikeDummy,3,relic,142.5,0.8382352941176471
272,HornCleat,3,relic,142.5,0.8382352941176471
232,Cauldron,2,relic,148.0,0.8705882352941177
343,Solar Panel,2,relic,148.0,0.8705882352941177
330,Ring of the Snake,2,relic,148.0,0.8705882352941177
212,BargainBundle,2,relic,148.0,0.8705882352941177
337,Simple Rune,2,relic,148.0,0.8705882352941177
234,CeramicFish,2,relic,148.0,0.8705882352941177
203,Akabeko,2,relic,148.0,0.8705882352941177
271,Hope,1,relic,161.0,0.9470588235294117
268,Grinning Jar,1,relic,161.0,0.9470588235294117
300,Ninja Scroll,1,relic,161.0,0.9470588235294117
206,Arrowhead,1,relic,161.0,0.9470588235294117
211,Bandana,1,relic,161.0,0.9470588235294117
309,Onion Ring,1,relic,161.0,0.9470588235294117
285,Mark of Pain,1,relic,161.0,0.9470588235294117
213,Baseball,1,relic,161.0,0.9470588235294117
275,IndustrialRevolution,1,relic,161.0,0.9470588235294117
326,Raider's Mask,1,relic,161.0,0.9470588235294117
329,ReplayFunnel,1,relic,161.0,0.9470588235294117
356,Tingsha,1,relic,161.0,0.9470588235294117
249,DreamHouse,1,relic,161.0,0.9470588235294117
341,Snack Pack,1,relic,161.0,0.9470588235294117
231,Carrot,1,relic,161.0,0.9470588235294117
239,Counterbalance,1,relic,161.0,0.9470588235294117
361,Tough Bandages,1,relic,161.0,0.9470588235294117
225,Burning Blood,1,relic,161.0,0.9470588235294117
219,Blue Doll,1,relic,161.0,0.9470588235294117
